Grupo  ,Subgrupo,Nombre ,Energía,Humedad,Proteína,Grasa,Carbohidratos,Fibra cruda,Ceniza,Calcio (Ca),Fósforo (P),Hierro (Fe),Vit A,Tiamina (B1),Riboflavina (B2),Niacina (B3),Vit C
Grupo  ,Subgrupo,del alimento,Kcal,gr,gr,gr,gr,gr,gr,mg,mg,mg,ug,mg,mg,mg,mg
Regimenes especiales,Regimenes especiales,Suplemento alimenticio sabor durazno,382,2.27,2.77,2.01,88.32,0,4.63,1082.26,136.5,2.28,4.09,0,0,0,34.3
Alimentos infantiles,Alimentos infantiles,Alimento infantil con chocolate,418,1.25,15.31,15.46,54.43,0,3.65,509.12,328.22,5.88,265.68,0,0,0,46.6
Alimentos infantiles,Alimentos infantiles,Alimento fortificado milo,418,2.32,11.87,8.7,73.06,0,4.05,528.69,544.27,6.89,29.56,0,0,0,20.48
Alimentos infantiles,Alimentos infantiles,Alimento infantil nursoy,500,0.89,13.71,23.12,59.35,0,2.93,284,357,8.06,68.13,0,0,0,23.71
Alimentos infantiles,Alimentos infantiles,Alimento nutritivo enercal,448,0.52,11.13,12.98,71.54,0,3.83,310.39,377.2,6.5,35.43,0,0,0,61.82
Alimentos infantiles,Alimentos infantiles,"Enriquecido lácteo c/cacao, quinua y soya",432,3.16,16.19,11.48,65.87,0,3.3,404.5,425.75,88.35,28.61,0,0,0,6.97
Alimentos infantiles,Alimentos infantiles,Enriquecido lacteo sabor chocolate,455,1.33,16.02,13.96,66.28,0,2.41,203.1,298.27,125.58,43.32,0,0,0,21.9
Alimentos infantiles,Alimentos infantiles,Extensor de leche en polvo,458,2.01,11.59,14.88,69.38,0,2.14,313.7,278.28,88.35,19.58,0,0,0,9.67
Alimentos infantiles,Alimentos infantiles,Fórmula infantil S-26,527,1.27,12,28.38,55.85,0,2.4,309.22,278.83,9.47,72.21,0,0,0,12.09
Alimentos escolares,Alimentos escolares,Galleta con harina de cañahua y chocolate,416,4.56,12.7,9.99,68.94,1.99,3.81,825,598,15,24,0,0,0,7
Alimentos escolares,Alimentos escolares,Galleta con harina de maíz y soya,412,4.02,11.25,7.35,75.24,2,2.14,810.75,283.18,9.8,22.65,0,0,0,0
Alimentos escolares,Alimentos escolares,Galleta con harina de maíz y quinua,461,3.96,13,16.98,63.96,3,2.1,102,190.01,20.9,23,0,0,0,9
Alimentos escolares,Alimentos escolares,Galleta con harina de maíz sabor naranja,409,3.86,10.93,6.83,75.85,2.31,2.54,887.92,444.57,21.1,8.75,0,0,0,4.38
Alimentos escolares,Alimentos escolares,Leche en polvo con azúcar,422,1.31,10.89,7.01,78.78,0,2.02,235,440,0.4,12.65,0,0,0,6.2
Alimentos escolares,Alimentos escolares,"Leche en polvo c/harina de maíz, arroz y soya",394,1.05,16.7,2.41,76.42,0,3.42,310.3,648,4.85,0,0,0,0,0
Alimentos escolares,Alimentos escolares,Leche c/chocolate y almendras en polvo,418,1.19,11.34,6.22,79.26,0,1.99,121.6,175.34,14.73,0,0,0,0,6.47
Alimentos escolares,Alimentos escolares,Pan fortificado,353,20,11,9,57,1.66,1,67,172,2,26,0,0,0,0
Alimentos escolares,Alimentos escolares,Pan fortificado con harina de maíz,347,18,11,7,60,1.25,1,82,140.01,14.9,20.54,0,0,0,2
Alimentos escolares,Alimentos escolares,Pan c/harina de cañahua y cocoa,314,21,11.5,2,62.5,6.6,1,50.5,243.02,13.4,23.01,0,0,0,3
Alimentos escolares,Alimentos escolares,Pan de batalla con harina de trigo,316,23.21,15.27,3.69,55.49,2.3,2.34,58.77,207.2,11.3,25.89,0,0,0,3.04
Alimentos escolares,Alimentos escolares,Pan con centeno y queso,335,22,14,7,54,3.5,2,94,171.01,15.41,23,0,0,0,3
Alimentos escolares,Alimentos escolares,"Pan con harina integral, maíz y anís",331,22.5,11.5,7,65.5,2.89,1,52.6,183.01,11.8,21.03,0,0,0,4
Alimentos escolares,Alimentos escolares,Pan con harina de maíz y soya,350,20.89,14.38,9.18,52.57,2.6,1.24,67.31,158.1,16.6,21.46,0,0,0,4.45
Alimentos escolares,Alimentos escolares,Sustituto lácteo en polvo,448,1.35,10.35,12.4,73.66,0,2.24,241.28,134.67,7.66,26.02,0,0,0,6.53
Alimentos escolares,Alimentos escolares,Sustituto lácteo con canela,437,1.32,10.19,10.5,75.47,0,2.52,226.97,174.95,4601,34.06,0,0,0,50.36
Alimentos escolares,Alimentos escolares,Sustituto lácteocon chocolate,441,1.15,12.86,10.6,73.53,0,1.86,157.11,131.87,10.35,32.7,0,0,0,6.8
Alimentos escolares,Alimentos escolares,Sustituto lácteo c/chocolate y almendras,449,0.17,37.13,11.34,49.67,0,1.69,52.49,253.64,14.01,223.45,0,0,0,27.12
Alimentos escolares,Alimentos escolares,Sustituto lácteo sabor coco,435,0.94,15.85,9.4,71.81,0,2,224.17,235.77,4.66,15.3,0,0,0,6.81
Alimentos escolares,Alimentos escolares,Sustituto lácteo sabor vainilla,453,2.27,11.1,14.56,69.38,0,2.69,233.84,182.97,4.76,19.1,0,0,0,6.3
Alimentos escolares,Alimentos escolares,Suplemento alimenticio mamilac,420,1.55,16.96,7.78,70.46,0,3.25,70.78,738.94,4501,0,0,0,0,375
Alimentos manufacturados,Alimentos manufacturados,Café tostado orgánico,209,5.3,14.3,5.2,26.2,0,1.4,102.6,194.5,4.74,0,0,0,0,0
Alimentos manufacturados,Alimentos manufacturados,Coco rallado,304,54.2,1.7,24.9,18.18,4.21,1.02,14.3,89.36,1.78,0,0,0,0,3.02
Alimentos manufacturados,Alimentos manufacturados,Crema de espárragos sopa,423,3.91,7.62,9.22,77.27,0.86,1.98,98.8,130.2,1.09,3.49,0,0,0.82,0.44
Alimentos manufacturados,Alimentos manufacturados,Crema de tomate sopa,416,4.21,7.33,8.22,78.26,0.98,1.98,68.9,62.4,1.96,2.27,0,0,1.35,0.22
Alimentos manufacturados,Alimentos manufacturados,Flan en polvo,394,0.14,0.71,0.43,95.75,0,1.01,42,52.3,1.81,6,0,0,0,0
Alimentos manufacturados,Alimentos manufacturados,Ketchup,149,60.2,2.74,0.12,34.34,0,2.61,22.3,33.6,2.91,226.3,0.04,0.07,1.5,1
Alimentos manufacturados,Alimentos manufacturados,Gelatina sabor frambuesa,398,0.25,8.23,0.42,90.3,0,1.22,87,3.27,3.31,13.6,0,0,0,50.75
Alimentos manufacturados,Alimentos manufacturados,Gelatina sabor cereza,397,0.4,11.95,0,87.24,0,1.01,35.9,2.6,1.41,21.8,0,0,0.19,44.32
Alimentos manufacturados,Alimentos manufacturados,Gelatina sabor naranja,397,0.46,11.36,0,87.86,0,14.01,32.5,2.75,1.01,6.81,0,0,0.12,43.39
Alimentos manufacturados,Alimentos manufacturados,Guaraná en polvo,373,6.92,7.12,1.41,82.86,0,1.69,56.98,130.52,2.35,80.56,0,0,0,2.33
Alimentos manufacturados,Alimentos manufacturados,Lagua de trigo deshidratada,407,5.62,7.98,8.22,75.3,2.37,3.05,108.3,323.5,8.73,170,0,0,0,0.48
Alimentos manufacturados,Alimentos manufacturados,Lagua de verduras con aji,403,6.23,7.86,8.22,74.47,6.99,3.22,84.7,211.1,9.56,177.71,0,0,0,0.59
Alimentos manufacturados,Alimentos manufacturados,Leche fluida con manzanna y quinua,85,80.84,3.77,3.22,10.16,0,2.01,52.6,202.3,0.75,10.37,0,0,0,3.94
Alimentos manufacturados,Alimentos manufacturados,Mayonesa,655,22.5,4.7,70.2,1.1,0,1.5,19.7,30.2,0.33,0,0,0,0,0
Alimentos manufacturados,Alimentos manufacturados,Mostaza,125,71.9,6.75,5.8,12.51,0,4.04,80.1,0,2.88,201.37,0,0,0,2.4
Alimentos manufacturados,Alimentos manufacturados,Puré de manzana,141,65.76,1.16,0.93,32.02,0.8,0.74,10,8,0.9,11,0.02,0.17,1,1
Alimentos manufacturados,Alimentos manufacturados,Refresco horchata de coco,370,8.5,1.53,2.54,85.18,3.6,2.25,55.7,162.8,0.52,42.24,0,0,0,2.16
Alimentos manufacturados,Alimentos manufacturados,Refresco instantáneo sabor durazno,391,0.05,0,0,97.73,0,2.22,0,0,0,0,0,0,0,0
Alimentos manufacturados,Alimentos manufacturados,Sopa de carne con arroz deshidratada,425,4.43,7.98,10.22,75.39,0.33,1.98,46.5,118.4,5.56,40.95,0,0,1.21,0
Alimentos manufacturados,Alimentos manufacturados,Sopa de carne c/fideo deshidratada,428,4.01,7.75,10.02,76.77,0.45,1.45,108.4,168,5.78,47.06,0,0,1.6,0
Alimentos manufacturados,Alimentos manufacturados,Sopa de quinua deshidratada,424,4.36,8.64,9.98,74.88,2.14,2.35,216,138,5.69,76.3,0,0,1.45,6.1
Alimentos manufacturados,Alimentos manufacturados,Sopa de habas deshidratada,423,4.55,8.23,9.97,75.02,9.41,2.23,48.43,179.49,5.72,25.88,0,0,0,0
Alimentos manufacturados,Alimentos manufacturados,Sopa de pollo con fideo deshidratada,417,4.76,8.2,8.72,76.34,0.23,1.98,14.4,184.6,4.62,53.3,0,0,1.05,0
Alimentos en conserva,Alimentos en conserva,Atún al aceite,263,55.4,24,18.5,0,0,2.1,3,230,1.2,200,0.04,0.14,1.02,0
Alimentos en conserva,Alimentos en conserva,Durazno al jugo mitades,105,73.58,1.13,0.04,25,1.35,0.25,12,15,0.8,37,0.02,0.21,1.03,3.4
Alimentos en conserva,Alimentos en conserva,Ensalada de frutas picadas,95,75.6,1.88,0.26,21.25,2.01,1.01,14.6,16.2,0.6,42.5,0.01,0.12,1.07,2
Alimentos en conserva,Alimentos en conserva,Frutillas al jugo,124,68.83,2.78,0.1,27.9,0.3,0.39,19,12,0.6,2,0.03,0.08,1.65,3
Alimentos en conserva,Alimentos en conserva,Guindas al jugo,116,70.71,2.88,0.1,25.99,0.1,0.32,17,3,1.7,19,0.02,0.06,1.78,2
Alimentos en conserva,Alimentos en conserva,Jugo de grape frut natural sin azucar,43,89.15,0.63,0.2,9.74,0.12,0.28,15,23,0.7,7,0.02,0.14,0.66,30
Alimentos en conserva,Alimentos en conserva,Jugo concentrado de mandarina,54,86.22,0.6,0.1,12.77,0.13,0.31,17.2,17.2,0.35,109.3,0,0,0,52.31
Alimentos en conserva,Alimentos en conserva,Jugo de mandarina sin azucar,43,89.27,0.69,0.19,9.67,0.12,0.18,13,11,0.4,20,0.94,0.11,0.99,23.5
Alimentos en conserva,Alimentos en conserva,Jugo de naranja filtrado,40,89.98,0.41,0.15,9.16,0,0.3,13,15,0.33,16,0.03,0.06,0.21,48.3
Alimentos en conserva,Alimentos en conserva,Jugo de piña,84,78.74,0.41,0.17,20.25,0.12,0.43,13,15,0.7,6,0.04,0.09,1.23,5
Alimentos en conserva,Alimentos en conserva,Jugo de tomate,33,90.86,0.28,0.02,7.85,0.33,0.99,13,17,0.9,22,0.02,0.1,1.6,2
Alimentos en conserva,Alimentos en conserva,Jugo de toronja,60,84.98,0.26,0.15,14.35,0.09,0.26,13,15,0.7,10,0.04,0.16,0.82,28
Alimentos en conserva,Alimentos en conserva,Jugo de tumbo,21,94.65,0.45,0.3,4.19,1.36,0.41,8.2,29.9,0.31,0,0,0,0,42.3
Alimentos en conserva,Alimentos en conserva,Manzanas al jugo,153,67.97,0.85,0.22,36.86,0.56,0.1,7,4,0.8,11,0.02,0.11,1.92,1
Alimentos en conserva,Alimentos en conserva,Papaya al jugo,98,75.29,0.83,0.08,23.55,0.47,0.25,15,8,0.8,14,0.02,0.28,0.7,0
Alimentos en conserva,Alimentos en conserva,Peras al jugo,113,70.53,0.19,0.02,28.11,0.72,0.15,11,7,0.7,18,0.02,0.07,4.12,3
Alimentos en conserva,Alimentos en conserva,Piñas al jugoo rodajas,107,73.13,0.63,0.14,25.91,0.27,0.19,13,5,0.6,8,0.05,0.16,0.55,1
Alimentos en conserva,Alimentos en conserva,Sardina con salsa de tomate,211,63.1,17.8,14.8,1.6,0,2.7,380,400,4.1,0,0.01,0.17,53,0
Alimentos en conserva,Alimentos en conserva,Sardina en aceite,331,47.1,21.1,27,1,0,3.8,350,430,3.5,100,0.01,0.14,4,0
Alimentos en conserva,Alimentos en conserva,Segmentos de toronja al jugo,46,88.31,0.66,0.1,10.71,0.22,0.22,20,12,1,14,0.02,0.14,0.74,2
Alimentos en conserva,Alimentos en conserva,Uva blanca al jugo,156,67.15,1.03,1.07,35.5,0.4,0.25,12,14,0.5,46,0.01,0.1,0.74,3
Alimentos preparados,Alimentos preparados,Api con harina de tarhui,419,2.63,12.16,7.2,76.31,2.9,1.7,97,244,11.9,90,0.16,3.8,2.9,5
Alimentos preparados,Alimentos preparados,Carne vegetal con soya,468,5.35,17,20.16,54.76,0.42,2.73,199.3,339.6,21.4,0,0,0,0,0
Alimentos preparados,Alimentos preparados,Carne de gluten con vegetales,429,4.12,13,14.26,62.04,1.31,3.28,108.4,216.9,9.37,29,0,0,5.65,0.94
Alimentos preparados,Alimentos preparados,Cuñape,328,30.68,11.32,11.66,44.36,0.97,2.02,260,189,3.26,0,0.3,0.12,1.67,0
Alimentos preparados,Alimentos preparados,Empanada de maíz,337,33.1,12.38,15.98,35.92,0.72,2.62,261,121,7.9,28,0.08,0.45,2.26,0
Alimentos preparados,Alimentos preparados,Empanada de queso,354,11.74,9.66,2.15,74.05,0.52,2.4,163,116,2.4,0,0.08,0.48,7.9,1
Alimentos preparados,Alimentos preparados,Gluten seco crudo,285,28,23.18,0.6,46.84,0.41,0.29,104.8,69.7,2.33,29,0.05,0.04,2.25,0.7
Alimentos preparados,Alimentos preparados,Gluten precocido,285,29.09,21.3,0.57,48.79,0.19,0.25,101.2,69,1.32,0,0,0,1.47,0
Alimentos preparados,Alimentos preparados,Llajua deshidratada,379,5.41,2.67,1.32,89.15,4.9,1.45,60,75.3,3.44,0,0.05,0.16,0.29,19
Alimentos preparados,Alimentos preparados,Llaucha,244,39.42,10.62,1.63,46.82,0.44,1.51,131,98,3.5,0,0.07,0.16,2.54,0
Alimentos preparados,Alimentos preparados,Pastel con crema,368,27.24,7.38,8.37,65.79,0.1,1.22,115,218,3.5,42,0.06,0.23,3.52,0
Alimentos preparados,Alimentos preparados,Pastel para api,479,9.56,6.94,24.36,58.12,0.24,1.02,55,94,5,16,0.06,0.18,2.64,0
Alimentos preparados,Alimentos preparados,Postre de chocolate con leche,90,77.75,3.42,0.53,17.96,0,0.34,85.98,10.5,4.1,1.36,0,0,0.55,4.6
Alimentos preparados,Alimentos preparados,"Postre de leche, café y miel",101,75,3.53,0.28,20.98,0,0.21,71.3,14.3,4,0,0,0,0.67,3.6
Alimentos preparados,Alimentos preparados,Refresco de tarhui deshidratado,400,1.81,10.25,2.62,83.9,2.3,1.42,34.22,145.2,1.33,0,0,0,0,0
Alimentos preparados,Alimentos preparados,Salsa soya,45,79.05,0.97,0.19,9.73,0,10.06,168,56.5,2.69,59.5,0,0,2.31,1.69
Alimentos preparados,Alimentos preparados,Tajori con harina de tarhui al 20%,393,7.33,13.26,5.34,72.87,3.07,1.2,84.14,114,7.2,54,0.19,0.14,5,1
Alimentos preparados típicos,Alimentos preparados típicos,Ají de acelga,105,76.33,3.88,3.3,15.01,0.72,1.48,55,51,2.7,215,0.04,0.1,2.03,1
Alimentos preparados típicos,Alimentos preparados típicos,Ají de achojcha,117,73.62,2.62,3.41,18.97,0.56,1.38,30,50,2.2,199,0.04,0.11,1.87,1
Alimentos preparados típicos,Alimentos preparados típicos,Ají de arroz,158,61.24,2.62,1.13,34.22,0.92,0.79,20,45,1.8,75,0.04,0.15,3.52,1
Alimentos preparados típicos,Alimentos preparados típicos,Ají de fideo,178,60.29,5.22,4.52,29.22,0.66,0.75,24,59,2,134,0.04,0.11,5.75,1
Alimentos preparados típicos,Alimentos preparados típicos,Ají de habas,131,68.66,4.46,2.08,23.54,0.72,1.26,66,49,7.2,92,0.06,0.15,4.3,0
Alimentos preparados típicos,Alimentos preparados típicos,Ají de lengua de res,433,58.51,15.44,41.3,0,0,1.31,19,106,3.2,56,0.03,0.22,2.94,0
Alimentos preparados típicos,Alimentos preparados típicos,Ají de papalisa,138,39.76,4,4.5,20.41,0.74,1.33,30,57,1.9,59,0.05,0.18,1.2,1
Alimentos preparados típicos,Alimentos preparados típicos,Ají de patas de cordero,166,66.7,6.62,7.79,17.35,0.6,1.54,32,42,1.7,170,0.03,0.13,2.42,1
Alimentos preparados típicos,Alimentos preparados típicos,Ají de patas de res,128,71.56,4.5,3.64,19.3,0.33,1,28,40,2.2,58,0.03,0.2,2.47,1
Alimentos preparados típicos,Alimentos preparados típicos,Ají de racacha,113,71.76,11.46,1.29,13.93,0.18,1.56,25,35,2.6,12,0.05,0.18,2.91,3
Alimentos preparados típicos,Alimentos preparados típicos,Ají de sangre de cordero,119,72.84,8.18,3.12,14.45,0.83,1.41,66,81,11.71,45,0.03,0.11,1.38,0
Alimentos preparados típicos,Alimentos preparados típicos,Ají de trigo mote,127,71.56,4.06,3.55,19.71,0.46,1.12,27,50,1.3,45,0.04,0.11,1.4,1
Alimentos preparados típicos,Alimentos preparados típicos,Albóndigas de carne de res con arroz,160,65.61,10.82,5.63,16.62,0.34,1.32,41,70,2.5,74,0.06,0.15,3.18,0
Alimentos preparados típicos,Alimentos preparados típicos,Api morado preparado,77,80.14,3.53,0.22,15.15,0.17,0.96,14,14,3.2,19,0.03,0.15,2.75,0
Alimentos preparados típicos,Alimentos preparados típicos,Arroz con leche,24,93.72,2.53,0.18,3.17,0.32,0.4,54,34,0.7,147,0.03,0.18,3.57,0
Alimentos preparados típicos,Alimentos preparados típicos,Brazuelo de cordero,191,58.54,20.34,6.01,13.89,0.54,1.22,37,91,3.6,803,0.06,0.27,2.31,1
Alimentos preparados típicos,Alimentos preparados típicos,Cabeza de cordero,105,77.54,6.66,4.36,9.86,0.5,1.58,51,63,2.2,102,0.06,0.19,1.37,0
Alimentos preparados típicos,Alimentos preparados típicos,Caldo ajiaco,148,76.28,18.56,8.18,0,0.27,1.35,24,83,2.7,0,0.05,0.23,3.1,6
Alimentos preparados típicos,Alimentos preparados típicos,Caldo chairo paceño,36,90.48,1.21,0.47,6.78,0.12,1.06,20,16,1.9,0,0.04,0.12,2.36,1
Alimentos preparados típicos,Alimentos preparados típicos,Caldo de arroz,55,85.46,2.25,0.11,11.13,0.27,1.05,15,68,2.1,29,0.04,0.15,2.7,0
Alimentos preparados típicos,Alimentos preparados típicos,Caldo de huallaque,58,84.06,2.94,0.53,10.33,0.23,2.14,243,130,2.4,70,0.03,0.12,3.57,0
Alimentos preparados típicos,Alimentos preparados típicos,Caldo de papalisa,46,87.58,0.72,0.19,10.47,0.4,1.04,12,24,2.3,0,0.03,0.14,3.25,0
Alimentos preparados típicos,Alimentos preparados típicos,Caldo de repollo con pecho de res,70,84.62,2.91,2.47,9.12,0.39,0.88,32,32,0.6,0.58,0.03,0.1,1.81,0
Alimentos preparados típicos,Alimentos preparados típicos,Caldo jackonta,65,83.19,2.75,0.56,12.23,0.18,1.17,18,25,2.2,0,0.03,0.11,3.8,0
Alimentos preparados típicos,Alimentos preparados típicos,Caldo lagua de chuño,62,84.45,0.28,0.83,13.24,0.67,1.2,31,31,0.8,17,0.02,0.06,2.66,0
Alimentos preparados típicos,Alimentos preparados típicos,Chanfaina,123,70.3,9.16,1.76,17.52,0.38,1.26,19,73,4,427,0.08,0.5,3.02,12
Alimentos preparados típicos,Alimentos preparados típicos,Chanka de conejo,121,73.78,11.75,3.88,9.77,0.81,0.82,53,49,1.7,18,0.05,0.2,2.47,0
Alimentos preparados típicos,Alimentos preparados típicos,Chanka de pollo,143,69.7,10.44,4.98,14.05,0.86,0.82,32,60,2.2,28,0.05,0.22,2.94,5
Alimentos preparados típicos,Alimentos preparados típicos,Charquecan,144,69.58,4.5,5.29,19.48,0.56,1.15,28,49,4.1,37,0.04,0.17,3.74,0
Alimentos preparados típicos,Alimentos preparados típicos,Chicharron de cerdo c/camote y chuño,231,56.93,10.18,13.08,18.23,0.75,1.58,31,92,3.5,0,0.13,0.19,2.44,0
Alimentos preparados típicos,Alimentos preparados típicos,Chuleta de cerdo con pure,196,61.41,6.38,9.56,21.15,0.36,1.5,36,77,2.3,40,0.08,0.15,3.63,0
Alimentos preparados típicos,Alimentos preparados típicos,Conejo estirado,162,62.02,4.8,2.83,29.4,0.68,0.95,28,30,2.8,77,0.04,0.14,3.02,0
Alimentos preparados típicos,Alimentos preparados típicos,Costillar de conejo cocido,163,66.3,7.44,6.3,19.09,0.46,0.87,24,57,1.4,115,0.05,0.21,2.03,1
Alimentos preparados típicos,Alimentos preparados típicos,Escabeche de pollo,152,65.46,19.45,4.82,7.71,0,2.56,50,81,5.9,13,0.03,0.29,1.98,0
Alimentos preparados típicos,Alimentos preparados típicos,Escabeche de verduras,122,68.4,5.5,1.74,21.19,1.57,3.17,22,35,2.1,124,0.04,0.19,1.76,0
Alimentos preparados típicos,Alimentos preparados típicos,Falso conejo,120,70.18,4.22,1.32,22.76,1.17,1.52,20,47,2.3,23,0.04,0.17,2.36,0
Alimentos preparados típicos,Alimentos preparados típicos,Fricase,121,72.35,6.62,2.89,17.02,0.84,1.12,17,67,2.2,0,0.18,0.2,2.97,0
Alimentos preparados típicos,Alimentos preparados típicos,Guiso de cordero,209,64.4,6.25,14.29,13.73,0.61,1.33,35,64,2.6,25,0.04,0.13,3.08,1
Alimentos preparados típicos,Alimentos preparados típicos,Huarjata,188,65,17.25,10.75,5.63,0.65,1.37,38,39,0.9,126,0.04,0.14,1.92,1
Alimentos preparados típicos,Alimentos preparados típicos,Huminta al horno,235,48.15,3.93,6.44,40.38,1.12,1.1,11,14,1.9,7,0.08,0.15,2.86,1
Alimentos preparados típicos,Alimentos preparados típicos,Huminta dulce a la olla,160,66.18,4.4,5.75,22.76,0.92,0.91,46,94,2.9,65,0.04,0.24,2.4,0
Alimentos preparados típicos,Alimentos preparados típicos,Jolke,100,77.78,6.12,3.2,11.7,0.25,1.2,17,84,2.8,0,10,0.76,2.2,0
Alimentos preparados típicos,Alimentos preparados típicos,Lechón,153,64.89,9.38,3.45,21.02,0.28,1.26,27,100,4.5,79,0.11,0.28,4.45,2
Alimentos preparados típicos,Alimentos preparados típicos,Locro,88,80.38,12.59,3.19,2.15,0.73,1.69,29,29,4.1,0,0.06,0.12,1.76,6
Alimentos preparados típicos,Alimentos preparados típicos,Lomo montado,164,65.94,14.5,6.75,11.39,0,1.42,31,102,2.3,108,0.06,0.28,2.6,0
Alimentos preparados típicos,Alimentos preparados típicos,Mote de maíz blanco con queso,153,65.44,7.74,2.98,23.71,0.14,0.13,100,57,2.8,94,0.04,0.25,2.47,0
Alimentos preparados típicos,Alimentos preparados típicos,Papa con huevo y queso,161,60.46,16.35,3.47,16.1,0,3.62,54,80,3.2,36,0.03,0.22,1.48,0
Alimentos preparados típicos,Alimentos preparados típicos,Papa a la huancaina,160,69.62,6.12,8.91,13.81,0.94,1.54,60,96,1.7,186,0.04,0.15,2.71,1
Alimentos preparados típicos,Alimentos preparados típicos,Patas rebozadas de cordero,287,50.34,22.34,18.75,7.17,0.1,1.4,109,55,4.7,6,0.06,0.24,1.21,0
Alimentos preparados típicos,Alimentos preparados típicos,Patasca,129,68.52,2.59,0.99,27.49,1.13,0.41,29,82,2.4,0,0.05,0.08,0.88,0
Alimentos preparados típicos,Alimentos preparados típicos,Pesque de quinua,91,77.44,2.82,1.08,17.5,0.14,1.16,21,52,1.8,0,0.07,0.16,2.09,1
Alimentos preparados típicos,Alimentos preparados típicos,Piri de quinua,105,75.58,2.97,2.45,17.69,1.98,1.31,26,94,2.6,7,0.07,0.2,2.28,0
Alimentos preparados típicos,Alimentos preparados típicos,Piri de trigo,216,52.35,2.28,5.87,38.52,1.31,0.98,34,154,6,11,0.06,0.2,3.36,1
Alimentos preparados típicos,Alimentos preparados típicos,Plato cubano,195,60.09,3.63,8,27.13,0.41,1.15,43,76,1.6,102,0.05,0.18,1.4,0
Alimentos preparados típicos,Alimentos preparados típicos,Plato paceño,123,71.8,4.73,2.87,19.44,0.6,1.16,10,82,2.6,140,0.08,0.18,3.2,1
Alimentos preparados típicos,Alimentos preparados típicos,Queso humacha,139,72.42,5.22,7.22,13.33,0,1.81,85,77,2.4,26,0.04,0.33,1.34,0
Alimentos preparados típicos,Alimentos preparados típicos,Rana frita,139,66.3,19.18,5.02,4.36,0,5.14,94,128,5,11,0.06,0.27,1.97,1
Alimentos preparados típicos,Alimentos preparados típicos,Ranga,103,75.48,10.44,2.08,10.75,0.67,1.25,28,47,3.5,2,0.04,0.16,3.5,0
Alimentos preparados típicos,Alimentos preparados típicos,Relleno de papa con carne,246,53.31,11.06,13.62,19.91,0.66,1.9,58,65,2.4,4,0.07,0.12,2.75,0
Alimentos preparados típicos,Alimentos preparados típicos,Relleno de papa con queso,216,55.83,5.68,9.38,27.13,0.3,1.98,92,84,1.3,43,0.1,0.16,3.08,0
Alimentos preparados típicos,Alimentos preparados típicos,Revuelto de carne,201,58.62,13.68,8.48,17.5,0.48,1.72,36,151,4.7,771,0.08,0.32,2.42,1
Alimentos preparados típicos,Alimentos preparados típicos,Riñón de cordero,122,73.77,16.06,4.38,4.6,0.01,1.19,42,100,8.2,40,0.1,0.23,6.05,2
Alimentos preparados típicos,Alimentos preparados típicos,Saice,116,71.6,6.3,1.31,19.85,0.44,0.93,31,42,4.3,0,0.05,0.14,3.35,0
Alimentos preparados típicos,Alimentos preparados típicos,Sajta de pollo,110,74.7,15.12,2.55,6.62,0.4,1.01,34,59,3.6,0,0.05,0.14,5.72,0
Alimentos preparados típicos,Alimentos preparados típicos,Salteña corriente,188,63.2,8,8.71,19.47,0.76,0.62,13,59,0.5,56,0.11,0.46,1.84,3
Alimentos preparados típicos,Alimentos preparados típicos,Sandwich de chorizo criollo,256,43.64,16.38,7.64,30.39,0.58,1.95,39,120,3.4,0,0.05,0.2,3.03,0
Alimentos preparados típicos,Alimentos preparados típicos,Sándwich de silpancho,229,47.48,17.25,5.28,28.11,0.56,1.88,30,98,3.9,0,0.06,0.2,2.64,2
Alimentos preparados típicos,Alimentos preparados típicos,Sopa de fideo,201,53.64,6.07,4.65,33.79,0.53,1.85,57,57,2.5,81,0.04,0.12,1.65,0
Alimentos preparados típicos,Alimentos preparados típicos,Sopa de quinua   ,112,74.24,7.72,3.04,13.35,2.56,1.65,63,60,3.2,111,0.05,0.14,1.21,0
Alimentos preparados típicos,Alimentos preparados típicos,Thimpu,96,76.56,5.56,2.2,13.52,0.41,2.16,28,57,2.1,42,0.02,0.08,0.63,0
Alimentos preparados típicos,Alimentos preparados típicos,Tojori,121,69.88,6.18,0.07,23.79,0.16,0.08,12,13,8.6,0,0.02,0.14,1,0
Leguminosas,Leguminosas,Arveja harina de,356,9.72,20.55,1.13,65.98,1.52,2.62,51,367,5.61,0,0.44,0.16,2.2,0
Leguminosas,Leguminosas,Arveja seca,345,12.59,24.62,0.91,59.68,5.31,2.2,79,368,5.5,0,0.51,0.19,2.2,0
Leguminosas,Leguminosas,Arveja tostada,380,4.24,25.82,1.08,66.69,6.83,2.17,119,461,5.66,0,0.17,0.26,1.67,0
Leguminosas,Leguminosas,Garbanzo,385,9.05,21.51,6.52,60.12,2.78,2.8,147,378.6,6.15,0,0.26,0.24,0.68,0
Leguminosas,Leguminosas,Haba variedad grano grande,356,9.3,23.3,1.22,62.89,8.56,3.29,124,396,6.8,0,0.34,0.47,2.62,0
Leguminosas,Leguminosas,Haba variedad grano pequeño,356,9.38,23.21,1.22,63.13,10.53,3.06,116,383,6.3,0,0.34,0.36,1.94,0
Leguminosas,Leguminosas,Haba variedad parda,355,9.3,23.3,1.17,62.92,8.48,3.31,129,398,6.4,0,0.33,0.46,2.2,0
